timestamp,web_acl,regra,acao,source_ip,uri,country,http_method,status_code,user_agent
2026-03-30 02:57:09.887,WEBACL-ALB,Default_Action,ALLOW,5.161.75.7,/,US,HEAD,0,
2026-03-30 02:57:09.447,WEBACL-ALB,Default_Action,ALLOW,5.161.215.244,/,US,HEAD,0,
2026-03-30 02:57:08.793,WEBACL-ALB,Default_Action,ALLOW,178.156.181.172,/,US,HEAD,0,
2026-03-30 02:57:08.780,WEBACL-ALB,Default_Action,ALLOW,178.156.181.172,/,US,HEAD,0,
2026-03-30 02:56:53.070,WEBACL-ALB,Default_Action,ALLOW,5.161.194.92,/,US,HEAD,0,
2026-03-30 02:56:53.033,WEBACL-ALB,Default_Action,ALLOW,5.161.194.92,/,US,HEAD,0,
2026-03-30 02:56:38.763,WEBACL-ALB,Default_Action,ALLOW,178.156.185.127,/,US,HEAD,0,
2026-03-30 02:56:34.787,WEBACL-ALB,Default_Action,ALLOW,5.161.177.47,/,US,HEAD,0,
2026-03-30 02:56:34.771,WEBACL-ALB,Default_Action,ALLOW,5.161.177.47,/,US,HEAD,0,
2026-03-30 02:56:34.439,WEBACL-ALB,Default_Action,ALLOW,18.116.205.62,/,US,HEAD,0,
2026-03-30 02:56:34.399,WEBACL-ALB,Default_Action,ALLOW,18.116.205.62,/,US,HEAD,0,
2026-03-30 02:56:34.029,WEBACL-ALB,Default_Action,ALLOW,5.161.177.47,/,US,HEAD,0,
2026-03-30 02:56:18.397,WEBACL-ALB,Default_Action,ALLOW,5.161.215.244,/,US,HEAD,0,
2026-03-30 02:56:18.373,WEBACL-ALB,Default_Action,ALLOW,5.161.215.244,/,US,HEAD,0,
2026-03-30 02:56:04.653,WEBACL-ALB,Default_Action,ALLOW,18.116.205.62,/,US,HEAD,0,
2026-03-30 02:56:01.420,WEBACL-ALB,Default_Action,ALLOW,3.212.128.62,/,US,HEAD,0,
2026-03-30 02:56:01.401,WEBACL-ALB,Default_Action,ALLOW,3.212.128.62,/,US,HEAD,0,
