@timestamp,regra,acao,ip_origem,pais,metodo,uri
2026-03-30 02:58:37.350,Default_Action,ALLOW,54.87.112.51,US,HEAD,/
2026-03-30 02:58:37.201,Default_Action,ALLOW,54.87.112.51,US,HEAD,/
2026-03-30 02:58:21.597,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 02:58:17.325,Default_Action,ALLOW,5.161.117.52,US,HEAD,/
2026-03-30 02:58:17.084,Default_Action,ALLOW,5.161.194.92,US,HEAD,/
2026-03-30 02:58:17.064,Default_Action,ALLOW,5.161.194.92,US,HEAD,/
2026-03-30 02:58:15.320,Default_Action,ALLOW,5.161.113.195,US,HEAD,/
2026-03-30 02:58:15.296,Default_Action,ALLOW,5.161.113.195,US,HEAD,/
2026-03-30 02:58:02.182,Default_Action,ALLOW,52.15.147.27,US,HEAD,/
2026-03-30 02:58:02.107,Default_Action,ALLOW,52.15.147.27,US,HEAD,/
2026-03-30 02:57:46.891,Default_Action,ALLOW,178.156.185.127,US,HEAD,/
2026-03-30 02:57:43.929,Default_Action,ALLOW,178.156.181.172,US,HEAD,/
2026-03-30 02:57:43.914,Default_Action,ALLOW,178.156.181.172,US,HEAD,/
2026-03-30 02:57:43.644,Default_Action,ALLOW,178.156.187.238,US,HEAD,/
2026-03-30 02:57:41.909,Default_Action,ALLOW,54.87.112.51,US,HEAD,/
2026-03-30 02:57:41.896,Default_Action,ALLOW,54.87.112.51,US,HEAD,/
2026-03-30 02:57:28.183,Default_Action,ALLOW,5.161.177.47,US,HEAD,/
2026-03-30 02:57:28.164,Default_Action,ALLOW,5.161.177.47,US,HEAD,/
2026-03-30 02:57:12.938,Default_Action,ALLOW,5.161.75.7,US,HEAD,/
2026-03-30 02:57:09.902,Default_Action,ALLOW,5.161.75.7,US,HEAD,/
2026-03-30 02:57:09.887,Default_Action,ALLOW,5.161.75.7,US,HEAD,/
2026-03-30 02:57:09.447,Default_Action,ALLOW,5.161.215.244,US,HEAD,/
2026-03-30 02:57:08.793,Default_Action,ALLOW,178.156.181.172,US,HEAD,/
2026-03-30 02:57:08.780,Default_Action,ALLOW,178.156.181.172,US,HEAD,/
2026-03-30 02:56:53.070,Default_Action,ALLOW,5.161.194.92,US,HEAD,/
2026-03-30 02:56:53.033,Default_Action,ALLOW,5.161.194.92,US,HEAD,/
2026-03-30 02:56:38.763,Default_Action,ALLOW,178.156.185.127,US,HEAD,/
2026-03-30 02:56:34.787,Default_Action,ALLOW,5.161.177.47,US,HEAD,/
2026-03-30 02:56:34.771,Default_Action,ALLOW,5.161.177.47,US,HEAD,/
2026-03-30 02:56:34.439,Default_Action,ALLOW,18.116.205.62,US,HEAD,/
2026-03-30 02:56:34.399,Default_Action,ALLOW,18.116.205.62,US,HEAD,/
2026-03-30 02:56:34.029,Default_Action,ALLOW,5.161.177.47,US,HEAD,/
2026-03-30 02:56:18.397,Default_Action,ALLOW,5.161.215.244,US,HEAD,/
2026-03-30 02:56:18.373,Default_Action,ALLOW,5.161.215.244,US,HEAD,/
2026-03-30 02:56:04.653,Default_Action,ALLOW,18.116.205.62,US,HEAD,/
2026-03-30 02:56:01.420,Default_Action,ALLOW,3.212.128.62,US,HEAD,/
2026-03-30 02:56:01.401,Default_Action,ALLOW,3.212.128.62,US,HEAD,/
2026-03-30 02:56:00.833,Default_Action,ALLOW,5.161.113.195,US,HEAD,/
2026-03-30 02:56:00.731,Default_Action,ALLOW,178.156.185.231,US,HEAD,/
2026-03-30 02:56:00.717,Default_Action,ALLOW,178.156.185.231,US,HEAD,/
2026-03-30 02:55:47.793,Default_Action,ALLOW,172.225.223.8,BR,GET,/
2026-03-30 02:55:47.098,Default_Action,ALLOW,172.225.223.8,BR,GET,/
